id;recvtime;fiwareservicepath;entitytype;entityid;laeq;laeq_d;laeq_den;laeq_e;laeq_n;dateobserved
112;2021-01-24T00:00:33+00:00;/sonometros;NoiseLevelObserved;T248682-daily;57.3;59.3;58.9;55.3;47.6;2021-01-23
113;2021-01-25T00:00:35+00:00;/sonometros;NoiseLevelObserved;T248682-daily;57.4;57.4;63.3;58.9;56.8;2021-01-24
116;2021-01-28T00:00:42+00:00;/sonometros;NoiseLevelObserved;T248682-daily;60.5;62.6;61.6;56.0;49.3;2021-01-27
119;2021-01-31T00:00:19+00:00;/sonometros;NoiseLevelObserved;T248682-daily;58.9;60.9;60.3;56.6;48.6;2021-01-30
122;2021-02-03T00:00:12+00:00;/sonometros;NoiseLevelObserved;T248682-daily;58.6;60.6;60.0;56.3;48.1;2021-02-02
125;2021-02-06T00:00:28+00:00;/sonometros;NoiseLevelObserved;T248682-daily;59.4;61.3;61.1;58.1;50.0;2021-02-05
126;2021-02-07T00:00:24+00:00;/sonometros;NoiseLevelObserved;T248682-daily;57.5;59.3;59.5;57.0;48.8;2021-02-06
127;2021-02-08T00:00:22+00:00;/sonometros;NoiseLevelObserved;T248682-daily;56.7;58.5;58.6;56.7;47.4;2021-02-07
129;2021-02-10T00:00:27+00:00;/sonometros;NoiseLevelObserved;T248682-daily;59.9;61.9;61.2;57.1;49.0;2021-02-09
133;2021-02-14T00:00:37+00:00;/sonometros;NoiseLevelObserved;T248682-daily;57.2;58.8;59.2;58.9;47.4;2021-02-13
135;2021-02-16T00:00:42+00:00;/sonometros;NoiseLevelObserved;T248682-daily;59.7;61.6;61.5;56.7;51.2;2021-02-15
141;2021-03-08T00:00:26+00:00;/sonometros;NoiseLevelObserved;T248682-daily;58.8;60.6;60.7;58.9;49.4;2021-03-07
143;2021-03-10T00:00:32+00:00;/sonometros;NoiseLevelObserved;T248682-daily;60.2;62.2;61.5;57.0;49.6;2021-03-09
144;2021-03-11T00:01:12+00:00;/sonometros;NoiseLevelObserved;T248682-daily;60.8;62.9;62.0;58.0;49.0;2021-03-10
