dc:identifier,dc:modified,ayto:type,ayto:latitude,ayto:longitude,ayto:status,uri
3777,2021-08-24T14:45:51Z,parking,43.462825775,-3.79836607,1,http://datos.santander.es/api/datos/sensores_smart_parking/3777.csv
3887,2021-08-24T14:22:42Z,parking,43.464675903,-3.797236681,1,http://datos.santander.es/api/datos/sensores_smart_parking/3887.csv
3757,2021-08-24T07:37:05Z,parking,43.463542938,-3.798492193,1,http://datos.santander.es/api/datos/sensores_smart_parking/3757.csv
3857,2021-08-23T11:02:15Z,parking,43.464443207,-3.798435688,1,http://datos.santander.es/api/datos/sensores_smart_parking/3857.csv
3892,2021-08-23T10:17:47Z,parking,43.464302063,-3.798624992,1,http://datos.santander.es/api/datos/sensores_smart_parking/3892.csv
3739,2021-08-23T06:18:18Z,parking,43.464347839,-3.79854846,1,http://datos.santander.es/api/datos/sensores_smart_parking/3739.csv
3711,2021-08-23T05:00:22Z,parking,43.462440491,-3.800837755,1,http://datos.santander.es/api/datos/sensores_smart_parking/3711.csv
3836,2021-08-23T04:38:47Z,parking,43.463890076,-3.798756361,1,http://datos.santander.es/api/datos/sensores_smart_parking/3836.csv
3651,2021-08-22T14:08:51Z,parking,43.463157654,-3.797797441,1,http://datos.santander.es/api/datos/sensores_smart_parking/3651.csv
3793,2021-08-21T16:28:26Z,parking,43.463485718,-3.799646854,1,http://datos.santander.es/api/datos/sensores_smart_parking/3793.csv
3659,2021-08-21T07:49:55Z,parking,43.462890625,-3.800587654,1,http://datos.santander.es/api/datos/sensores_smart_parking/3659.csv
3755,2021-08-21T05:19:38Z,parking,43.463687897,-3.798518896,1,http://datos.santander.es/api/datos/sensores_smart_parking/3755.csv
3760,2021-08-21T04:36:24Z,parking,43.463298798,-3.798357964,1,http://datos.santander.es/api/datos/sensores_smart_parking/3760.csv
3761,2021-08-20T23:37:54Z,parking,43.463241577,-3.798343182,1,http://datos.santander.es/api/datos/sensores_smart_parking/3761.csv
3744,2021-08-20T17:54:46Z,parking,43.464000702,-3.798490763,1,http://datos.santander.es/api/datos/sensores_smart_parking/3744.csv
3873,2021-08-20T15:37:47Z,parking,43.464653015,-3.797046423,1,http://datos.santander.es/api/datos/sensores_smart_parking/3873.csv
3774,2021-08-20T14:33:30Z,parking,43.463005066,-3.798396826,0,http://datos.santander.es/api/datos/sensores_smart_parking/3774.csv
3703,2021-08-19T15:32:34Z,parking,43.462715149,-3.800760508,1,http://datos.santander.es/api/datos/sensores_smart_parking/3703.csv
3788,2021-08-19T14:04:00Z,parking,43.463859558,-3.799709797,1,http://datos.santander.es/api/datos/sensores_smart_parking/3788.csv
3768,2021-08-19T13:11:26Z,parking,43.463417053,-3.798473358,1,http://datos.santander.es/api/datos/sensores_smart_parking/3768.csv
3769,2021-08-19T09:26:36Z,parking,43.463356018,-3.798461199,1,http://datos.santander.es/api/datos/sensores_smart_parking/3769.csv
3748,2021-08-18T14:03:23Z,parking,43.463832855,-3.798460007,1,http://datos.santander.es/api/datos/sensores_smart_parking/3748.csv
3704,2021-08-18T05:49:48Z,parking,43.462657928,-3.800750494,1,http://datos.santander.es/api/datos/sensores_smart_parking/3704.csv
3790,2021-08-18T04:31:01Z,parking,43.463623047,-3.799674988,1,http://datos.santander.es/api/datos/sensores_smart_parking/3790.csv
