Timestamp,Autobus,Flota,EstadoSensores
"07/12/2023 04:09:51","389","EMTUSA","11"
"07/12/2023 04:10:34","321","EMTUSA","00"
"07/12/2023 04:11:30","369","EMTUSA","11"
"07/12/2023 04:13:15","345","EMTUSA","11"
"07/12/2023 04:15:02","363","EMTUSA","10"
"07/12/2023 04:17:04","363","EMTUSA","11"
"07/12/2023 04:23:04","363","EMTUSA","10"
"07/12/2023 04:23:48","387","EMTUSA","11"
"07/12/2023 04:25:02","363","EMTUSA","11"
"07/12/2023 04:31:03","363","EMTUSA","10"
"07/12/2023 04:37:30","392","EMTUSA","11"
"07/12/2023 04:41:16","338","EMTUSA","00"
"07/12/2023 04:43:19","339","EMTUSA","00"
"07/12/2023 04:49:02","375","EMTUSA","11"
"07/12/2023 04:51:37","354","EMTUSA","11"
"07/12/2023 04:51:43","349","EMTUSA","11"
"07/12/2023 04:59:42","407","EMTUSA","00"
"07/12/2023 05:09:09","390","EMTUSA","11"
"07/12/2023 05:18:10","361","EMTUSA","11"
"07/12/2023 05:20:22","410","EMTUSA","00"
"07/12/2023 05:21:53","355","EMTUSA","11"
"07/12/2023 09:22:04","363","EMTUSA","10"
"07/12/2023 10:04:13","363","EMTUSA","11"
"07/12/2023 10:05:09","344","EMTUSA","11"
"07/12/2023 01:35:04","329","EMTUSA","00"
"06/12/2023 21:24:57","378","EMTUSA","11"
"06/12/2023 21:26:28","368","EMTUSA","11"
"06/12/2023 23:23:48","363","EMTUSA","01"
"06/12/2023 23:43:19","330","EMTUSA","00"
"06/12/2023 23:44:13","340","EMTUSA","00"
"07/12/2023 11:54:28","363","EMTUSA","10"
"07/12/2023 11:56:33","363","EMTUSA","11"
"07/12/2023 12:39:37","363","EMTUSA","11"
"06/12/2023 21:17:34","342","EMTUSA","00"
"07/12/2023 07:35:00","337","EMTUSA","00"
"07/12/2023 07:38:49","363","EMTUSA","11"
"07/12/2023 08:00:15","377","EMTUSA","01"
"06/12/2023 21:41:31","331","EMTUSA","00"
"06/12/2023 21:42:58","400","EMTUSA","11"
"06/12/2023 22:25:49","363","EMTUSA","01"
"06/12/2023 22:26:13","376","EMTUSA","11"
"06/12/2023 22:29:21","392","EMTUSA","11"
"06/12/2023 22:35:40","365","EMTUSA","11"
"07/12/2023 05:26:42","336","EMTUSA","00"
"07/12/2023 05:26:43","363","EMTUSA","10"
"07/12/2023 05:28:31","371","EMTUSA","11"
"07/12/2023 05:28:42","363","EMTUSA","11"
"07/12/2023 05:29:00","384","EMTUSA","11"
"07/12/2023 05:30:18","370","EMTUSA","11"
"07/12/2023 05:46:43","363","EMTUSA","11"
"07/12/2023 05:58:32","363","EMTUSA","10"
"07/12/2023 06:00:31","363","EMTUSA","11"
"07/12/2023 06:05:36","332","EMTUSA","00"
"07/12/2023 06:14:44","331","EMTUSA","00"
"07/12/2023 06:20:24","341","EMTUSA","00"
"07/12/2023 06:28:26","405","EMTUSA","00"
"07/12/2023 06:28:32","363","EMTUSA","10"
"07/12/2023 06:29:58","374","EMTUSA","11"
"07/12/2023 06:30:53","363","EMTUSA","11"
"07/12/2023 11:19:12","363","EMTUSA","11"
"07/12/2023 11:22:22","363","EMTUSA","10"
