id;recvtime;fiwareservicepath;entitytype;entityid;laeq;laeq_d;laeq_den;laeq_e;laeq_n;dateobserved
119;2021-01-15T00:00:36+00:00;/sonometros;NoiseLevelObserved;T248661-daily;55.3;57.2;56.9;52.7;46.1;2021-01-14
120;2021-01-16T00:00:38+00:00;/sonometros;NoiseLevelObserved;T248661-daily;56.5;58.5;57.7;54.3;44.9;2021-01-15
121;2021-01-17T00:00:40+00:00;/sonometros;NoiseLevelObserved;T248661-daily;52.9;54.6;55.6;50.8;47.0;2021-01-16
124;2021-01-20T00:00:48+00:00;/sonometros;NoiseLevelObserved;T248661-daily;57.2;59.3;58.2;50.6;45.9;2021-01-19
126;2021-01-22T00:00:51+00:00;/sonometros;NoiseLevelObserved;T248661-daily;55.2;57.0;57.0;53.3;46.6;2021-01-21
130;2021-01-26T00:00:33+00:00;/sonometros;NoiseLevelObserved;T248661-daily;54.8;56.9;56.1;50.2;44.4;2021-01-25
136;2021-02-01T00:00:16+00:00;/sonometros;NoiseLevelObserved;T248661-daily;50.6;52.2;53.2;51.0;43.8;2021-01-31
138;2021-02-03T00:00:31+00:00;/sonometros;NoiseLevelObserved;T248661-daily;54.2;56.2;56.0;49.7;45.9;2021-02-02
143;2021-02-08T00:00:30+00:00;/sonometros;NoiseLevelObserved;T248661-daily;52.0;53.4;54.4;54.4;43.4;2021-02-07
144;2021-02-09T00:00:33+00:00;/sonometros;NoiseLevelObserved;T248661-daily;54.5;56.4;56.5;52.4;46.4;2021-02-08
146;2021-02-11T00:00:52+00:00;/sonometros;NoiseLevelObserved;T248661-daily;56.0;58.0;57.4;51.3;46.5;2021-02-10
147;2021-02-12T00:00:55+00:00;/sonometros;NoiseLevelObserved;T248661-daily;55.7;57.8;56.9;50.2;45.2;2021-02-11
149;2021-02-14T00:01:17+00:00;/sonometros;NoiseLevelObserved;T248661-daily;53.2;54.9;55.5;52.5;45.9;2021-02-13
151;2021-02-16T00:00:17+00:00;/sonometros;NoiseLevelObserved;T248661-daily;55.2;57.0;57.9;50.2;49.5;2021-02-15
