FID,featureid,sensorid,phenomenon_time,battery_voltage,humidity,temperature,no_we,no_aux,no2_we,no2_aux,ox_we,ox_aux,co_aux,co_we,no_concentration,no2_concentration,ox_concentration,co_concentration
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7599,83,4022,2019-11-27T22:10:04.057,5.169,55.1114502,15.24027161,302.49023438,3.47900391,212.95166016,-14.3737793,225.95214844,2.9296875,67.47436523,406.76879883,-23.80417508,42.36986813,29.15326287,91.62436488
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7598,83,4022,2019-11-27T22:30:06.774,5.166,54.52207947,15.24027161,302.0324707,3.47900391,212.21923828,-14.55688477,226.22680664,3.02124023,65.64331055,403.93066406,-23.80417508,41.75542025,29.4898538,87.14745855
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7597,83,4022,2019-11-27T22:40:05.811,5.167,54.60409546,15.20809631,303.03955078,3.38745117,212.21923828,-14.83154297,225.67749023,2.56347656,65.55175781,403.56445312,-23.97822971,40.83374843,27.80689913,86.92361323
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7596,83,4022,2019-11-27T22:49:59.83,5.166,55.36703491,15.14374573,301.57470703,2.74658203,212.95166016,-13.82446289,225.67749023,2.9296875,62.80517578,401.45874023,-25.19661211,44.21321178,29.15326287,80.20825374
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7595,83,4022,2019-11-27T23:00:03.908,5.169,56.90817261,14.99627563,301.20849609,1.92260742,211.94458008,-14.55688477,223.02246094,0.64086914,60.42480469,399.07836914,-26.76310376,41.75542025,20.73848949,74.38827552
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7594,83,4022,2019-11-27T23:10:03.595,5.166,57.47846985,14.75227966,301.02539062,1.83105469,211.66992188,-14.83154297,223.11401367,0.2746582,60.05859375,397.70507812,-26.93715839,40.83374843,19.39212575,73.49289425
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7593,83,4022,2019-11-27T23:20:03.448,5.167,57.4765625,14.52705261,300.93383789,1.92260742,211.2121582,-15.01464844,223.29711914,1.09863281,59.23461914,397.15576172,-26.76310376,40.21930055,22.42144416,71.47828641
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7592,74,4023,2019-11-27T21:46:24.241,5.251,58.74876404,14.82467407,296.44775391,-6.68334961,237.94555664,18.95141602,242.98095703,11.90185547,62.53051758,391.02172852,-11.80803818,27.89970532,17.02033149,96.44108294
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7591,74,4023,2019-11-27T21:56:19.376,5.253,59.0806427,14.81394897,297.08862305,-6.77490234,237.3046875,18.76831055,242.15698242,11.26098633,62.07275391,390.38085938,-11.96979213,27.25722999,14.79509142,95.40307008
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7590,74,4023,2019-11-27T22:06:25.066,5.251,58.94140625,14.76836731,296.35620117,-6.86645508,237.39624023,18.76831055,242.61474609,11.81030273,61.2487793,389.28222656,-12.13154607,27.25722999,16.70244005,93.53464693
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-758f,74,4023,2019-11-27T22:16:25.524,5.253,58.82315063,14.71474182,296.72241211,-6.86645508,237.21313477,18.85986328,242.06542969,11.71875,60.33325195,388.36669922,-12.13154607,27.57846765,16.38454861,91.45862121
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-758e,74,4023,2019-11-27T22:26:20.715,5.253,58.64958191,14.63698486,296.44775391,-6.31713867,237.3046875,18.31054688,242.34008789,11.71875,65.55175781,393.31054688,-11.16102239,25.65104167,16.38454861,103.29196783
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-758d,74,4023,2019-11-27T22:36:22.371,5.252,58.75830078,14.62625977,295.80688477,-6.86645508,237.21313477,18.76831055,242.06542969,11.62719727,61.43188477,389.00756836,-12.13154607,27.25722999,16.06665717,93.94985208
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-758c,74,4023,2019-11-27T22:46:23.145,5.253,59.04631042,14.62089722,295.8984375,-6.68334961,236.57226562,18.49365234,241.97387695,11.26098633,62.07275391,390.10620117,-11.80803818,26.293517,14.79509142,95.40307008
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-758b,74,4023,2019-11-27T22:56:21.467,5.25,59.59753418,14.50828369,296.26464844,-6.86645508,237.39624023,18.85986328,241.51611328,10.89477539,60.79101562,389.55688477,-12.13154607,27.57846765,13.52352566,92.49663407
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-758a,74,4023,2019-11-27T23:06:24.62,5.252,59.35720825,14.37421997,296.1730957,-6.59179688,236.93847656,18.58520508,241.69921875,11.26098633,59.60083008,387.17651367,-11.64628423,26.61475466,14.79509142,89.79780063
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7589,74,4023,2019-11-27T23:16:22.403,5.253,59.14358521,14.27233154,295.71533203,-6.68334961,236.57226562,18.31054688,241.60766602,11.35253906,55.48095703,383.33129883,-11.80803818,25.65104167,15.11298286,80.45568488
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7588,74,4023,2019-11-27T23:26:26.776,5.252,59.2885437,14.20798096,296.08154297,-7.23266602,236.75537109,18.21899414,242.24853516,11.53564453,57.40356445,385.25390625,-12.77856187,25.329804,15.74876573,84.8153389
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7587,88,4025,2019-11-27T22:05:19.668,5.245,55.53678894,15.70145081,298.64501953,3.75366211,222.10693359,-1.46484375,235.29052734,14.3737793,79.83398438,410.70556641,-5.68535533,38.32277824,20.04333112,120.92337101
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7586,88,4025,2019-11-27T22:25:24.866,5.249,54.83106995,15.59419983,298.18725586,3.93676758,220.36743164,-3.2043457,235.56518555,14.3737793,77.08740234,407.31811523,-5.36468025,32.54370198,20.04333112,115.07957945
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7585,88,4025,2019-11-27T22:35:21.495,5.248,55.43569946,15.53521179,297.27172852,3.2043457,221.64916992,-1.73950195,234.92431641,14.00756836,80.20019531,411.16333008,-6.64738055,37.41029251,18.8917244,121.70254322
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7584,88,4025,2019-11-27T22:45:24.223,5.249,55.00273132,15.47890503,297.82104492,3.75366211,220.91674805,-2.47192383,235.29052734,14.19067383,78.64379883,409.42382812,-5.68535533,34.97699725,19.46752776,118.39106134
