id;recvtime;fiwareservicepath;entitytype;entityid;laeq;laeq_d;laeq_den;laeq_e;laeq_n;dateobserved
123;2021-02-11T00:00:20+00:00;/sonometros;NoiseLevelObserved;T248670-daily;57.9;59.4;60.6;59.0;51.2;2021-02-10
124;2021-02-12T00:00:21+00:00;/sonometros;NoiseLevelObserved;T248670-daily;58.0;59.7;60.5;56.2;51.5;2021-02-11
125;2021-02-13T00:00:22+00:00;/sonometros;NoiseLevelObserved;T248670-daily;58.3;60.0;60.6;58.4;50.6;2021-02-12
126;2021-02-14T00:00:24+00:00;/sonometros;NoiseLevelObserved;T248670-daily;56.5;57.9;58.9;58.4;48.4;2021-02-13
127;2021-02-15T00:00:26+00:00;/sonometros;NoiseLevelObserved;T248670-daily;56.6;58.0;59.9;56.9;51.5;2021-02-14
128;2021-02-16T00:00:29+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.0;62.0;61.5;54.3;51.1;2021-02-15
129;2021-02-17T00:00:30+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.9;63.0;62.0;56.4;49.6;2021-02-16
130;2021-03-04T09:08:27+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.7;62.6;62.7;57.6;52.8;2021-03-03
131;2021-03-05T00:00:36+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.3;62.4;61.5;57.5;48.6;2021-03-04
134;2021-03-08T00:00:12+00:00;/sonometros;NoiseLevelObserved;T248670-daily;57.9;59.7;59.8;57.3;49.0;2021-03-07
135;2021-03-09T00:00:20+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.5;61.5;61.3;56.3;51.0;2021-03-08
137;2021-03-11T00:00:20+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.3;62.3;61.7;56.6;50.5;2021-03-10
138;2021-03-12T00:00:19+00:00;/sonometros;NoiseLevelObserved;T248670-daily;58.5;60.4;60.2;57.6;48.9;2021-03-11
139;2021-03-13T00:00:20+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.9;61.8;61.5;59.2;49.7;2021-03-12
140;2021-03-14T00:00:22+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.0;62.0;61.6;57.7;50.3;2021-03-13
142;2021-03-16T00:00:26+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.2;62.2;61.6;57.6;49.9;2021-03-15
149;2021-03-23T00:00:42+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.9;61.9;61.4;58.6;49.5;2021-03-22
152;2021-03-26T00:00:48+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.0;61.9;61.9;58.1;51.5;2021-03-25
154;2021-03-28T00:00:53+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.2;62.2;61.7;59.2;49.2;2021-03-27
165;2021-04-08T00:00:26+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.3;61.2;60.8;57.9;49.3;2021-04-07
168;2021-04-11T00:01:23+00:00;/sonometros;NoiseLevelObserved;T248670-daily;58.4;60.3;60.1;56.5;49.1;2021-04-10
170;2021-04-13T00:00:28+00:00;/sonometros;NoiseLevelObserved;T248670-daily;57.3;59.2;59.1;57.3;47.4;2021-04-12
174;2021-04-17T00:00:36+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.6;61.3;61.3;59.6;49.9;2021-04-16
175;2021-04-18T00:00:38+00:00;/sonometros;NoiseLevelObserved;T248670-daily;58.9;60.8;60.6;58.9;48.8;2021-04-17
178;2021-04-21T00:00:45+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.4;61.3;61.1;57.2;50.3;2021-04-20
180;2021-04-23T00:00:49+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.5;61.2;62.3;58.4;53.5;2021-04-22
185;2021-04-28T00:00:03+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.5;61.2;61.4;60.2;50.1;2021-04-27
186;2021-04-29T00:00:04+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.7;61.4;61.8;60.0;51.2;2021-04-28
189;2021-05-02T00:00:21+00:00;/sonometros;NoiseLevelObserved;T248670-daily;61.9;63.6;63.4;63.4;49.5;2021-05-01
193;2021-05-06T00:00:20+00:00;/sonometros;NoiseLevelObserved;T248670-daily;61.1;62.6;63.0;63.5;50.2;2021-05-05
199;2021-05-12T00:00:31+00:00;/sonometros;NoiseLevelObserved;T248670-daily;61.1;63.0;62.7;59.3;51.6;2021-05-11
200;2021-05-13T00:00:35+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.6;61.1;62.2;60.7;52.6;2021-05-12
202;2021-05-15T00:00:40+00:00;/sonometros;NoiseLevelObserved;T248670-daily;61.8;62.7;65.3;65.4;56.1;2021-05-14
203;2021-05-16T00:00:43+00:00;/sonometros;NoiseLevelObserved;T248670-daily;62.1;62.5;66.3;66.8;57.6;2021-05-15
206;2021-05-19T00:00:48+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.2;60.6;61.9;60.2;52.6;2021-05-18
212;2021-05-25T00:00:14+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.1;61.8;62.3;60.4;51.9;2021-05-24
213;2021-05-26T00:00:06+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.1;61.9;62.1;58.6;52.1;2021-05-25
214;2021-05-27T00:00:16+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.0;61.5;62.8;61.0;53.5;2021-05-26
216;2021-05-29T00:00:13+00:00;/sonometros;NoiseLevelObserved;T248670-daily;62.6;62.9;67.1;67.0;59.1;2021-05-28
218;2021-05-31T00:00:17+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.0;59.5;63.6;62.5;56.0;2021-05-30
219;2021-06-01T00:00:20+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.0;61.8;62.3;59.4;52.4;2021-05-31
222;2021-06-04T00:00:26+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.9;62.2;63.9;63.0;54.5;2021-06-03
230;2021-06-12T00:00:44+00:00;/sonometros;NoiseLevelObserved;T248670-daily;62.2;62.1;67.2;67.1;59.4;2021-06-11
231;2021-06-13T00:00:48+00:00;/sonometros;NoiseLevelObserved;T248670-daily;62.0;61.2;68.2;66.1;61.5;2021-06-12
237;2021-06-19T00:00:12+00:00;/sonometros;NoiseLevelObserved;T248670-daily;62.8;63.0;67.6;67.2;59.8;2021-06-18
243;2021-08-28T00:00:13+00:00;/sonometros;NoiseLevelObserved;T248670-daily;61.5;61.9;66.4;65.3;58.8;2021-08-27
244;2021-08-29T00:00:16+00:00;/sonometros;NoiseLevelObserved;T248670-daily;61.2;59.4;67.8;66.5;61.2;2021-08-28
245;2021-08-30T00:00:18+00:00;/sonometros;NoiseLevelObserved;T248670-daily;65.0;61.6;73.3;66.3;67.6;2021-08-29
246;2021-08-31T00:00:21+00:00;/sonometros;NoiseLevelObserved;T248670-daily;63.9;62.9;68.5;71.1;58.8;2021-08-30
249;2021-09-03T00:00:27+00:00;/sonometros;NoiseLevelObserved;T248670-daily;77.9;75.1;85.9;80.6;80.1;2021-09-02
253;2021-09-07T00:00:36+00:00;/sonometros;NoiseLevelObserved;T248670-daily;71.8;64.0;81.4;61.3;76.1;2021-09-06
296;2021-09-18T00:00:53+00:00;/sonometros;NoiseLevelObserved;T248670-daily;62.6;62.2;68.0;67.2;60.8;2021-09-17
298;2021-09-20T00:00:58+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.8;59.7;65.8;61.7;59.4;2021-09-19
299;2021-09-21T00:00:01+00:00;/sonometros;NoiseLevelObserved;T248670-daily;61.2;63.0;63.4;59.0;53.8;2021-09-20
333;2021-09-23T00:00:14+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.9;61.4;62.8;60.6;53.9;2021-09-22
334;2021-09-24T00:00:10+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.4;61.5;64.2;62.1;56.1;2021-09-23
335;2021-09-25T00:00:10+00:00;/sonometros;NoiseLevelObserved;T248670-daily;61.4;62.0;66.0;64.8;58.3;2021-09-24
371;2021-09-29T00:00:21+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.7;60.7;64.0;60.5;56.6;2021-09-28
374;2021-10-02T00:00:26+00:00;/sonometros;NoiseLevelObserved;T248670-daily;63.3;63.0;68.7;67.7;61.5;2021-10-01
376;2021-10-04T00:00:31+00:00;/sonometros;NoiseLevelObserved;T248670-daily;61.2;58.8;69.5;59.8;63.9;2021-10-03
378;2021-10-06T00:00:36+00:00;/sonometros;NoiseLevelObserved;T248670-daily;58.5;59.8;61.7;59.9;52.9;2021-10-05
380;2021-10-08T00:00:41+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.9;62.2;64.4;62.1;56.2;2021-10-07
384;2021-10-12T00:00:50+00:00;/sonometros;NoiseLevelObserved;T248670-daily;61.4;61.7;66.3;65.0;58.9;2021-10-11
420;2021-10-16T00:00:47+00:00;/sonometros;NoiseLevelObserved;T248670-daily;62.8;62.8;67.8;66.9;60.4;2021-10-15
421;2021-10-17T00:00:50+00:00;/sonometros;NoiseLevelObserved;T248670-daily;63.5;62.9;69.7;66.8;63.2;2021-10-16
425;2021-10-21T00:00:00+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.2;61.4;63.9;61.6;55.8;2021-10-20
430;2021-10-26T00:00:11+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.1;61.9;62.5;58.6;53.2;2021-10-25
431;2021-10-27T00:00:13+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.5;60.9;62.9;60.6;54.4;2021-10-26
533;2021-11-02T09:10:27+00:00;/sonometros;NoiseLevelObserved;T248670-daily;61.1;60.1;67.8;63.9;61.6;2021-11-01
599;2021-11-04T00:00:30+00:00;/sonometros;NoiseLevelObserved;T248670-daily;58.9;60.6;61.3;58.0;52.0;2021-11-03
665;2021-11-06T00:00:35+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.4;61.6;63.7;62.3;54.9;2021-11-05
667;2021-11-08T00:00:39+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.8;60.4;67.7;59.2;61.8;2021-11-07
669;2021-11-10T00:00:48+00:00;/sonometros;NoiseLevelObserved;T248670-daily;58.9;60.6;61.4;57.4;52.2;2021-11-09
703;2021-11-12T00:00:47+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.5;60.9;62.6;60.0;54.1;2021-11-11
706;2021-11-15T00:00:55+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.3;60.1;67.0;58.0;61.0;2021-11-14
708;2021-11-17T00:00:58+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.3;60.9;62.3;58.3;53.9;2021-11-16
709;2021-11-18T00:01:00+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.2;62.0;62.2;59.2;52.0;2021-11-17
713;2021-11-22T00:00:10+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.5;60.5;66.8;59.5;60.7;2021-11-21
749;2021-11-26T00:00:18+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.4;62.0;62.9;60.9;53.2;2021-11-25
750;2021-11-27T00:00:21+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.7;61.4;65.0;63.5;57.2;2021-11-26
753;2021-11-30T00:00:25+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.6;61.3;62.2;57.9;53.3;2021-11-29
755;2021-12-02T00:01:29+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.8;61.5;62.4;58.5;53.3;2021-12-01
757;2021-12-04T00:00:33+00:00;/sonometros;NoiseLevelObserved;T248670-daily;61.5;62.3;64.8;65.7;54.9;2021-12-03
760;2021-12-07T00:00:39+00:00;/sonometros;NoiseLevelObserved;T248670-daily;58.4;59.1;62.5;61.5;54.4;2021-12-06
763;2021-12-10T00:00:45+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.4;61.1;61.9;58.6;52.7;2021-12-09
766;2021-12-13T00:00:52+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.2;59.3;67.3;60.0;61.4;2021-12-12
799;2021-12-14T00:00:54+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.4;62.3;62.6;58.9;52.6;2021-12-13
801;2021-12-16T00:00:58+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.3;60.9;62.0;59.2;52.9;2021-12-15
803;2021-12-18T00:00:12+00:00;/sonometros;NoiseLevelObserved;T248670-daily;62.7;63.3;66.5;66.9;57.7;2021-12-17
804;2021-12-19T00:00:08+00:00;/sonometros;NoiseLevelObserved;T248670-daily;62.5;62.7;67.8;65.3;60.9;2021-12-18
805;2021-12-20T00:00:08+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.8;59.1;66.8;60.0;60.8;2021-12-19
808;2021-12-23T00:00:44+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.8;62.3;63.8;61.6;54.8;2021-12-22
810;2021-12-25T00:00:18+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.2;61.7;64.0;56.3;56.7;2021-12-24
811;2021-12-26T00:00:19+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.6;59.2;65.1;64.6;57.7;2021-12-25
818;2022-01-07T00:00:45+00:00;/sonometros;NoiseLevelObserved;T248670-daily;58.1;58.5;62.6;62.2;54.6;2022-01-06
821;2022-01-10T00:00:49+00:00;/sonometros;NoiseLevelObserved;T248670-daily;58.5;58.7;64.2;60.0;57.7;2022-01-09
823;2022-01-12T00:00:54+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.2;62.0;62.4;58.6;52.7;2022-01-11
831;2022-01-20T00:00:11+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.1;60.7;62.1;58.4;53.5;2022-01-19
832;2022-01-21T00:00:47+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.1;61.8;62.5;59.7;52.9;2022-01-20
833;2022-01-22T00:00:42+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.7;61.9;64.0;62.3;55.5;2022-01-21
871;2022-01-28T00:00:54+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.5;62.0;63.5;61.0;54.8;2022-01-27
873;2022-01-30T00:00:58+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.2;60.3;65.5;63.9;58.4;2022-01-29
874;2022-01-31T00:00:00+00:00;/sonometros;NoiseLevelObserved;T248670-daily;58.8;58.5;65.4;58.5;59.4;2022-01-30
875;2022-02-01T00:00:04+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.6;61.4;61.8;57.7;52.2;2022-01-31
876;2022-02-02T00:00:04+00:00;/sonometros;NoiseLevelObserved;T248670-daily;58.7;60.1;61.4;60.5;51.7;2022-02-01
879;2022-02-05T00:00:10+00:00;/sonometros;NoiseLevelObserved;T248670-daily;62.5;63.6;66.0;65.2;57.2;2022-02-04
880;2022-02-06T00:01:11+00:00;/sonometros;NoiseLevelObserved;T248670-daily;64.6;65.4;68.8;66.8;61.2;2022-02-05
881;2022-02-07T00:00:16+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.9;59.6;66.5;60.2;60.4;2022-02-06
883;2022-02-09T00:00:18+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.3;62.0;62.7;60.0;53.0;2022-02-08
