FID,featureid,sensorid,phenomenon_time,battery_voltage,humidity,temperature,no_we,no_aux,no2_we,no2_aux,ox_we,ox_aux,co_aux,co_we,no_concentration,no2_concentration,ox_concentration,co_concentration
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7458,83,4019,2019-07-30T02:15:06.609,6.07,57.81225586,20,326.93481445,24.07836914,222.19848633,0.91552734,245.26977539,6.77490234,34.14916992,382.04956055,16.41658072,20.90292348,-0.82453354,98.24981334
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7457,83,4019,2019-07-30T02:05:08.746,6.072,58.49508667,20,329.68139648,26.27563477,222.9309082,1.19018555,244.35424805,6.1340332,33.50830078,382.04956055,20.38993629,21.87344716,-3.17203955,96.75594588
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7456,83,4019,2019-07-30T01:55:05.697,6.07,58.71824646,20,325.4699707,20.5078125,224.12109375,2.6550293,246.73461914,8.42285156,33.96606445,383.5144043,9.95987794,27.04957349,5.21191049,97.82299406
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7455,83,4019,2019-07-30T01:45:13.169,6.072,58.11552429,20,330.68847656,27.64892578,222.83935547,0.91552734,244.17114258,5.67626953,33.41674805,383.14819336,22.87328351,20.90292348,-4.84882956,96.54253624
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7454,83,4020,2019-07-30T02:17:37.045,5.991,59.33241272,20,334.80834961,10.34545898,231.4453125,2.19726562,228.14941406,-8.69750977,38.72680664,381.31713867,8.52050781,64.637258,11.46697998,104.76862475
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7453,83,4020,2019-07-30T02:07:34.091,5.993,57.76075745,20,337.73803711,11.81030273,226.40991211,-1.92260742,229.43115234,-6.40869141,37.53662109,379.39453125,11.39275046,50.76563158,19.41426595,102.1000473
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7452,83,4020,2019-07-30T01:57:35.588,5.994,57.86947632,20,337.82958984,11.90185547,228.60717773,0.18310547,223.93798828,-13.45825195,37.90283203,379.48608398,11.57226562,57.85557397,-5.06337484,102.92114805
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7451,88,4021,2019-07-30T01:57:13.529,6.024,58.98527527,20,326.29394531,-0.91552734,229.43115234,-1.19018555,231.81152344,-4.76074219,43.76220703,386.26098633,-1.7339533,27.44490484,8.99300326,93.6285194
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7450,88,4021,2019-07-30T02:27:11.953,6.022,58.56756592,20,329.95605469,5.21850586,225.49438477,-5.40161133,227.78320312,-9.61303711,41.74804688,385.43701172,9.88353382,14.32519835,-10.49412494,88.76339825
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-744f,88,4021,2019-07-30T03:07:11.655,6.018,57.71879578,20,324.82910156,-0.91552734,226.04370117,-3.75366211,232.63549805,-2.9296875,37.8112793,381.1340332,-1.7339533,19.45899654,16.34663655,79.25429782
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-744e,88,4021,2019-07-30T02:57:16.025,6.02,57.55476379,20,327.57568359,2.10571289,224.94506836,-6.68334961,230.16357422,-6.86645508,40.83251953,383.23974609,3.9880926,10.33224421,0.53632499,86.55197954
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-744d,88,4021,2019-07-30T02:47:14.33,6.021,58.37492371,20,325.92773438,0.45776367,226.68457031,-4.39453125,234.00878906,-2.6550293,41.93115234,384.88769531,0.86697665,17.46251947,17.44968154,89.20568199
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-744c,88,4022,2019-07-30T02:22:45.92,5.881,57.47846985,20,319.88525391,14.09912109,210.84594727,-16.93725586,223.20556641,0.18310547,73.05908203,404.0222168,-3.61383822,33.76759779,19.05553481,105.27892917
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-744b,88,4022,2019-07-30T02:12:40.721,5.881,57.52233887,20,318.96972656,13.00048828,212.49389648,-14.6484375,221.92382812,-1.64794922,73.2421875,403.38134766,-5.70249376,41.44819631,12.32371611,105.7266198
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-744a,88,4022,2019-07-30T01:52:48.194,5.882,56.13951111,20,328.49121094,21.14868164,207.64160156,-20.14160156,220.27587891,-3.02124023,73.05908203,403.38134766,9.78836814,23.01475986,7.27485208,105.27892917
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7449,88,4022,2019-07-30T01:42:47.613,5.881,56.28637695,20,326.29394531,20.32470703,208.2824707,-19.22607422,218.53637695,-5.40161133,74.15771484,404.38842773,8.22187649,26.08699927,-1.47651224,107.96507297
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7448,88,4022,2019-07-30T02:52:43.972,5.881,56.80708313,20,319.42749023,12.63427734,210.6628418,-16.20483398,225.67749023,1.64794922,70.67871094,402.00805664,-6.39871227,36.22538931,24.44098977,99.45895095
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7447,88,4022,2019-07-30T02:32:46.358,5.88,57.43841553,20,318.23730469,12.90893555,211.94458008,-16.02172852,224.85351562,0.45776367,71.96044922,403.19824219,-5.87654839,36.8398372,20.06530762,102.59278538
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7446,88,4023,2019-07-30T02:18:43.585,6.051,58.5866394,20,321.62475586,6.04248047,237.12158203,17.578125,241.69921875,10.07080078,65.73486328,394.13452148,10.67576055,23.08114035,10.66250271,103.70717297
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7445,88,4023,2019-07-30T02:08:41.085,6.047,57.15040588,20,323.45581055,8.23974609,235.29052734,15.10620117,239.9597168,7.78198242,66.00952148,393.67675781,14.55785529,14.40772341,2.71521674,104.32998069
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7444,88,4023,2019-07-30T01:58:42.35,6.052,58.15939331,20,321.80786133,5.95092773,235.83984375,15.74707031,245.08666992,13.00048828,66.10107422,394.77539062,10.5140066,16.65638706,20.83502875,104.53758326
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7443,88,4023,2019-07-30T03:08:44.474,6.05,57.30680847,20,321.35009766,8.33129883,236.02294922,15.83862305,238.95263672,8.97216797,60.69946289,389.73999023,14.71960924,16.97762473,6.84780545,92.2890315
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7442,83,4025,2019-07-30T02:07:47.724,6.089,59.05012512,20,341.49169922,13.91601562,221.92382812,-4.11987305,235.19897461,13.27514648,69.21386719,398.52905273,12.11211143,29.5020829,16.58851096,98.32737699
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7441,83,4025,2019-07-30T01:57:53.016,6.091,57.89045715,20,339.84375,10.43701172,219.4519043,-5.31005859,234.6496582,11.62719727,69.30541992,398.07128906,6.01928497,25.54797809,11.40628071,98.52217005
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7440,83,4025,2019-07-30T01:47:54.129,6.089,58.06211853,20,348.08349609,19.13452148,219.08569336,-7.50732422,231.1706543,9.24682617,68.38989258,398.4375,21.25135111,18.2480923,3.92083702,96.57423953
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-743f,83,4025,2019-07-30T01:37:54.808,6.089,57.25912476,20,347.25952148,18.21899414,218.99414062,-7.78198242,233.64257812,9.88769531,69.85473633,398.52905273,19.64797573,17.33560657,5.93614878,99.69092836
