FID,groupname,description,enable,group_parent_id,type,pt,subtype,layer
inventory_groups.431,ARMONICOS_TENSION,,1,427,COS,,0,null
inventory_groups.434,POTENCIA_ACTIVA,,1,433,COS,,0,null
inventory_groups.433,Analizador General,,1,154,LOG,POINT (-5.800717565673882 38.97421066528711),1,null
inventory_groups.435,FACTOR_POTENCIA,,1,433,COS,,0,null
inventory_groups.437,ARMONICOS_TENSION,,1,433,COS,,0,null
inventory_groups.436,ENERGIA_REACTIVA,,1,433,COS,,0,null
inventory_groups.438,ARMONICOS_INTENSIDAD,,1,433,COS,,0,null
inventory_groups.1081,HUMEDAD,,1,1074,CON,,0,null
inventory_groups.1090,HUMEDAD,,1,1083,CON,,0,null
inventory_groups.1099,HUMEDAD,,1,1092,CON,,0,null
inventory_groups.1108,HUMEDAD,,1,1101,CON,,0,null
inventory_groups.1117,HUMEDAD,,1,1110,CON,,0,null
inventory_groups.1144,HUMEDAD,,1,1137,CON,,0,null
inventory_groups.1153,HUMEDAD,,1,1146,CON,,0,null
inventory_groups.1162,HUMEDAD,,1,1155,CON,,0,null
inventory_groups.1060,HUMEDAD,,1,1053,CON,,0,null
inventory_groups.1070,HUMEDAD,,1,1063,CON,,0,null
inventory_groups.1126,HUMEDAD,,1,1119,CON,,0,null
inventory_groups.1135,HUMEDAD,,1,1128,CON,,0,null
