id;recvtime;fiwareservicepath;entitytype;entityid;laeq;laeq_d;laeq_den;laeq_e;laeq_n;dateobserved
149;2021-02-13T00:01:16+00:00;/sonometros;NoiseLevelObserved;T248678-daily;54.3;56.0;56.3;54.0;45.9;2021-02-12
151;2021-02-15T00:00:21+00:00;/sonometros;NoiseLevelObserved;T248678-daily;53.5;54.4;58.6;52.6;51.9;2021-02-14
153;2021-02-17T00:00:23+00:00;/sonometros;NoiseLevelObserved;T248678-daily;54.6;56.5;56.3;51.7;45.9;2021-02-16
155;2021-03-05T00:00:54+00:00;/sonometros;NoiseLevelObserved;T248678-daily;55.3;57.2;56.9;53.8;45.7;2021-03-04
156;2021-03-06T00:00:56+00:00;/sonometros;NoiseLevelObserved;T248678-daily;55.9;57.8;58.0;53.8;48.2;2021-03-05
157;2021-03-07T00:00:00+00:00;/sonometros;NoiseLevelObserved;T248678-daily;57.6;59.6;59.1;55.3;47.5;2021-03-06
159;2021-03-09T00:00:05+00:00;/sonometros;NoiseLevelObserved;T248678-daily;58.0;60.1;59.3;51.0;48.3;2021-03-08
160;2021-03-10T00:00:07+00:00;/sonometros;NoiseLevelObserved;T248678-daily;58.5;60.6;59.3;51.4;46.5;2021-03-09
161;2021-03-11T00:00:10+00:00;/sonometros;NoiseLevelObserved;T248678-daily;56.0;58.1;57.4;52.0;45.9;2021-03-10
167;2021-03-17T00:00:21+00:00;/sonometros;NoiseLevelObserved;T248678-daily;54.4;56.3;56.1;52.1;45.4;2021-03-16
169;2021-03-19T00:00:22+00:00;/sonometros;NoiseLevelObserved;T248678-daily;56.7;58.8;58.1;53.5;46.2;2021-03-18
171;2021-03-21T00:00:25+00:00;/sonometros;NoiseLevelObserved;T248678-daily;57.4;59.6;58.4;53.3;44.8;2021-03-20
175;2021-03-25T00:00:34+00:00;/sonometros;NoiseLevelObserved;T248678-daily;55.4;57.4;57.1;53.5;45.9;2021-03-24
177;2021-03-27T00:00:37+00:00;/sonometros;NoiseLevelObserved;T248678-daily;55.8;57.8;57.5;53.3;46.5;2021-03-26
178;2021-03-28T00:00:41+00:00;/sonometros;NoiseLevelObserved;T248678-daily;57.7;59.7;58.8;55.7;45.4;2021-03-27
