id;recvtime;fiwareservicepath;entitytype;entityid;laeq;laeq_d;laeq_den;laeq_e;laeq_n;dateobserved
143;2021-03-21T00:00:37+00:00;/sonometros;NoiseLevelObserved;T248676-daily;61.9;64.1;63.0;55.9;50.8;2021-03-20
144;2021-03-22T00:00:40+00:00;/sonometros;NoiseLevelObserved;T248676-daily;55.4;57.1;57.4;56.3;46.0;2021-03-21
149;2021-03-27T00:00:53+00:00;/sonometros;NoiseLevelObserved;T248676-daily;60.6;62.6;62.1;57.9;50.9;2021-03-26
151;2021-03-29T00:00:00+00:00;/sonometros;NoiseLevelObserved;T248676-daily;55.4;56.8;57.6;57.0;46.7;2021-03-28
153;2021-03-31T00:00:04+00:00;/sonometros;NoiseLevelObserved;T248676-daily;58.9;60.7;61.0;57.0;51.2;2021-03-30
158;2021-04-05T00:00:17+00:00;/sonometros;NoiseLevelObserved;T248676-daily;54.7;56.3;56.7;56.1;45.2;2021-04-04
160;2021-04-07T00:00:25+00:00;/sonometros;NoiseLevelObserved;T248676-daily;58.8;60.7;60.8;55.2;51.0;2021-04-06
161;2021-04-08T00:00:23+00:00;/sonometros;NoiseLevelObserved;T248676-daily;58.4;60.3;60.4;57.0;50.1;2021-04-07
165;2021-04-12T00:00:32+00:00;/sonometros;NoiseLevelObserved;T248676-daily;55.5;57.2;57.3;56.5;45.5;2021-04-11
169;2021-04-16T00:00:42+00:00;/sonometros;NoiseLevelObserved;T248676-daily;59.2;60.9;61.4;59.4;51.2;2021-04-15
170;2021-04-17T00:00:44+00:00;/sonometros;NoiseLevelObserved;T248676-daily;60.0;61.6;63.1;59.8;54.6;2021-04-16
172;2021-04-19T00:00:50+00:00;/sonometros;NoiseLevelObserved;T248676-daily;54.9;56.6;56.7;56.1;44.4;2021-04-18
173;2021-04-20T00:00:52+00:00;/sonometros;NoiseLevelObserved;T248676-daily;58.8;60.4;60.9;60.0;49.8;2021-04-19
174;2021-04-21T00:00:54+00:00;/sonometros;NoiseLevelObserved;T248676-daily;59.6;61.3;62.5;55.2;54.3;2021-04-20
178;2021-04-25T00:00:20+00:00;/sonometros;NoiseLevelObserved;T248676-daily;59.3;61.1;61.4;58.5;51.1;2021-04-24
181;2021-04-28T00:00:15+00:00;/sonometros;NoiseLevelObserved;T248676-daily;61.2;63.0;63.1;59.7;52.7;2021-04-27
183;2021-04-30T00:00:22+00:00;/sonometros;NoiseLevelObserved;T248676-daily;59.3;61.0;61.6;58.7;52.0;2021-04-29
185;2021-05-02T00:00:22+00:00;/sonometros;NoiseLevelObserved;T248676-daily;57.7;58.8;61.3;60.2;52.8;2021-05-01
186;2021-05-03T00:00:26+00:00;/sonometros;NoiseLevelObserved;T248676-daily;56.7;58.3;58.9;58.0;48.0;2021-05-02
191;2021-05-08T00:00:38+00:00;/sonometros;NoiseLevelObserved;T248676-daily;59.5;61.3;61.3;59.4;49.8;2021-05-07
196;2021-05-13T00:00:51+00:00;/sonometros;NoiseLevelObserved;T248676-daily;58.7;60.5;60.7;56.6;50.9;2021-05-12
198;2021-05-15T00:00:02+00:00;/sonometros;NoiseLevelObserved;T248676-daily;59.1;60.8;61.8;58.5;52.8;2021-05-14
199;2021-05-16T00:00:18+00:00;/sonometros;NoiseLevelObserved;T248676-daily;56.8;57.6;60.8;59.6;52.8;2021-05-15
200;2021-05-17T00:00:05+00:00;/sonometros;NoiseLevelObserved;T248676-daily;55.1;56.3;58.2;57.1;49.1;2021-05-16
204;2021-05-21T00:00:15+00:00;/sonometros;NoiseLevelObserved;T248676-daily;58.9;60.7;61.0;58.3;50.8;2021-05-20
207;2021-05-24T00:00:16+00:00;/sonometros;NoiseLevelObserved;T248676-daily;57.3;58.7;60.5;58.2;52.0;2021-05-23
209;2021-05-26T00:00:20+00:00;/sonometros;NoiseLevelObserved;T248676-daily;59.3;60.9;61.6;59.5;51.6;2021-05-25
210;2021-05-27T00:00:24+00:00;/sonometros;NoiseLevelObserved;T248676-daily;58.7;60.4;61.1;57.5;51.8;2021-05-26
216;2021-06-02T00:00:38+00:00;/sonometros;NoiseLevelObserved;T248676-daily;60.0;61.9;61.7;58.5;50.7;2021-06-01
219;2021-06-05T00:00:47+00:00;/sonometros;NoiseLevelObserved;T248676-daily;59.7;61.2;62.7;60.3;53.9;2021-06-04
220;2021-06-06T00:00:50+00:00;/sonometros;NoiseLevelObserved;T248676-daily;58.6;60.0;61.8;59.0;53.3;2021-06-05
221;2021-06-07T00:00:52+00:00;/sonometros;NoiseLevelObserved;T248676-daily;55.6;56.5;59.9;57.6;52.3;2021-06-06
224;2021-06-10T00:00:05+00:00;/sonometros;NoiseLevelObserved;T248676-daily;58.9;60.5;61.5;58.8;52.3;2021-06-09
227;2021-06-13T00:00:26+00:00;/sonometros;NoiseLevelObserved;T248676-daily;59.8;61.4;62.8;58.2;54.5;2021-06-12
229;2021-06-15T00:00:20+00:00;/sonometros;NoiseLevelObserved;T248676-daily;58.4;59.9;61.3;58.4;52.6;2021-06-14
230;2021-06-16T00:00:29+00:00;/sonometros;NoiseLevelObserved;T248676-daily;58.0;59.4;60.6;57.4;51.9;2021-06-15
231;2021-06-17T00:00:33+00:00;/sonometros;NoiseLevelObserved;T248676-daily;58.8;60.5;61.6;57.8;52.8;2021-06-16
232;2021-06-18T01:55:44+00:00;/sonometros;NoiseLevelObserved;T248676-daily;58.8;60.2;62.4;58.1;54.5;2021-06-17
235;2021-06-21T00:00:44+00:00;/sonometros;NoiseLevelObserved;T248676-daily;55.4;56.0;60.3;56.9;53.3;2021-06-20
243;2021-09-01T00:01:16+00:00;/sonometros;NoiseLevelObserved;T248676-daily;65.1;63.3;69.1;73.6;54.5;2021-08-31
244;2021-09-02T00:00:21+00:00;/sonometros;NoiseLevelObserved;T248676-daily;69.5;66.4;74.6;78.1;64.6;2021-09-01
252;2021-09-10T00:00:42+00:00;/sonometros;NoiseLevelObserved;T248676-daily;60.4;61.8;63.6;61.0;55.1;2021-09-09
253;2021-09-11T00:01:45+00:00;/sonometros;NoiseLevelObserved;T248676-daily;61.2;62.4;64.7;63.4;56.2;2021-09-10
254;2021-09-12T00:00:48+00:00;/sonometros;NoiseLevelObserved;T248676-daily;59.1;60.0;63.8;60.0;56.7;2021-09-11
291;2021-09-17T00:00:14+00:00;/sonometros;NoiseLevelObserved;T248676-daily;60.2;61.9;62.8;59.5;53.5;2021-09-16
292;2021-09-18T00:00:07+00:00;/sonometros;NoiseLevelObserved;T248676-daily;61.3;62.5;64.2;63.9;54.5;2021-09-17
293;2021-09-19T00:00:10+00:00;/sonometros;NoiseLevelObserved;T248676-daily;60.6;60.9;65.8;62.6;59.0;2021-09-18
331;2021-09-25T00:00:26+00:00;/sonometros;NoiseLevelObserved;T248676-daily;61.2;62.2;64.6;63.7;56.0;2021-09-24
332;2021-09-26T00:00:38+00:00;/sonometros;NoiseLevelObserved;T248676-daily;61.0;59.9;68.0;63.3;61.9;2021-09-25
333;2021-09-27T00:00:31+00:00;/sonometros;NoiseLevelObserved;T248676-daily;58.5;58.3;64.8;60.4;58.4;2021-09-26
334;2021-09-28T00:00:34+00:00;/sonometros;NoiseLevelObserved;T248676-daily;60.3;62.0;62.7;58.9;53.5;2021-09-27
369;2021-10-01T00:00:43+00:00;/sonometros;NoiseLevelObserved;T248676-daily;61.6;62.3;66.8;62.1;60.0;2021-09-30
370;2021-10-02T00:00:45+00:00;/sonometros;NoiseLevelObserved;T248676-daily;62.1;63.6;64.8;62.2;55.7;2021-10-01
371;2021-10-03T00:00:48+00:00;/sonometros;NoiseLevelObserved;T248676-daily;59.5;60.0;64.8;60.7;58.0;2021-10-02
