id;recvtime;fiwareservicepath;entitytype;entityid;laeq;laeq_d;laeq_den;laeq_e;laeq_n;dateobserved
137;2021-02-01T00:00:06+00:00;/sonometros;NoiseLevelObserved;T248671-daily;57.6;59.5;59.0;56.5;46.5;2021-01-31
138;2021-02-02T00:00:17+00:00;/sonometros;NoiseLevelObserved;T248671-daily;60.7;62.8;62.2;55.4;51.5;2021-02-01
142;2021-02-06T00:00:23+00:00;/sonometros;NoiseLevelObserved;T248671-daily;62.5;64.5;63.7;59.6;51.3;2021-02-05
146;2021-02-10T00:00:25+00:00;/sonometros;NoiseLevelObserved;T248671-daily;60.8;62.9;62.1;56.3;50.4;2021-02-09
150;2021-02-14T00:00:34+00:00;/sonometros;NoiseLevelObserved;T248671-daily;60.2;62.1;61.9;60.0;50.0;2021-02-13
151;2021-02-15T00:01:37+00:00;/sonometros;NoiseLevelObserved;T248671-daily;58.7;59.9;62.4;59.3;54.5;2021-02-14
154;2021-03-17T00:00:17+00:00;/sonometros;NoiseLevelObserved;T248671-daily;61.4;63.3;63.1;59.3;52.2;2021-03-16
156;2021-03-19T00:00:25+00:00;/sonometros;NoiseLevelObserved;T248671-daily;62.9;64.9;64.0;59.3;51.4;2021-03-18
169;2021-04-01T00:00:51+00:00;/sonometros;NoiseLevelObserved;T248671-daily;62.0;63.9;64.0;59.9;53.8;2021-03-31
172;2021-04-04T00:00:07+00:00;/sonometros;NoiseLevelObserved;T248671-daily;60.0;61.9;61.4;58.8;49.0;2021-04-03
173;2021-04-05T00:00:06+00:00;/sonometros;NoiseLevelObserved;T248671-daily;59.0;60.7;60.9;59.7;49.7;2021-04-04
174;2021-04-06T00:00:21+00:00;/sonometros;NoiseLevelObserved;T248671-daily;60.0;62.0;61.7;58.0;50.6;2021-04-05
178;2021-04-10T00:00:27+00:00;/sonometros;NoiseLevelObserved;T248671-daily;62.5;64.5;63.7;60.1;51.1;2021-04-09
188;2021-04-20T00:00:39+00:00;/sonometros;NoiseLevelObserved;T248671-daily;61.7;63.7;63.3;58.7;52.2;2021-04-19
191;2021-04-23T00:00:46+00:00;/sonometros;NoiseLevelObserved;T248671-daily;63.6;65.4;65.8;62.0;56.1;2021-04-22
